task	feature_set	params_json	train_summary_json	bundle_best_params_json	bundle_train_summary_json	bundle_model_pkl
AMES	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/AMES/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/AMES/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/AMES/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/AMES/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/AMES/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
BBB_Martins	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/BBB_Martins/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/BBB_Martins/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/BBB_Martins/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/BBB_Martins/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/BBB_Martins/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
Bioavailability_Ma	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Bioavailability_Ma/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Bioavailability_Ma/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Bioavailability_Ma/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Bioavailability_Ma/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Bioavailability_Ma/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
CYP2C9_Substrate_CarbonMangels	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2C9_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2C9_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2C9_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2C9_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2C9_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
CYP2D6_Substrate_CarbonMangels	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2D6_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2D6_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2D6_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2D6_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP2D6_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
CYP3A4_Substrate_CarbonMangels	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP3A4_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP3A4_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP3A4_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP3A4_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/CYP3A4_Substrate_CarbonMangels/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
Carcinogens_Lagunin	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Carcinogens_Lagunin/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Carcinogens_Lagunin/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Carcinogens_Lagunin/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Carcinogens_Lagunin/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/Carcinogens_Lagunin/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
ClinTox	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/ClinTox/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/ClinTox/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/ClinTox/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/ClinTox/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/ClinTox/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
DILI	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/DILI/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/DILI/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/DILI/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/DILI/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/DILI/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
HIA_Hou	fg_top_level+rdkit_descriptors_and_pka	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/HIA_Hou/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/results/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/HIA_Hou/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/HIA_Hou/fg_top_level+rdkit_descriptors_and_pka/best_params.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/HIA_Hou/fg_top_level+rdkit_descriptors_and_pka/train_summary.json	train/tree/bundles/fg_top_level_plus_rdkit_pka_traincv5_n40_seed0/HIA_Hou/fg_top_level+rdkit_descriptors_and_pka/model_bundle.pkl
