source,split,row_id,original_smiles,original_Y,keep_candidate,drop_reason,b3db_smiles,b3db_Y,b3db_group,b3db_row_nos,b3db_compound_names
nonisomeric_exact_high_conf,train,train:13,Cc1cccc(C)c1OCC(C)N,1,True,,Cc1cccc(C)c1OC[C@H](C)N,1,B,B3DB_classification:3604,94991-72-7
nonisomeric_exact_high_conf,train,train:25,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,1,True,,CCN(CC)C(=O)Nc1ccc(OC[C@@H](O)CNC(C)(C)C)c(C(C)=O)c1,0,B,B3DB_classification:3068,(s)-celiprolol
nonisomeric_exact_high_conf,train,train:85,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,0,True,,CNC[C@@H](O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,0,B,B3DB_classification:3283,unii-62o79nuo5m
nonisomeric_exact_high_conf,train,train:90,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,0,True,,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,0,B,B3DB_classification:2832,3-hydroxy-alpha-methyl-dl-tyrosine
nonisomeric_exact_high_conf,train,train:140,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0,True,,CC12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CCC2O,0,B,B3DB_classification:2924,nan
nonisomeric_exact_high_conf,train,train:200,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,1,True,,NCC[C@H](O)C(=O)N[C@H]1C[C@H](N)[C@H](O[C@@H]2O[C@@H](CN)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@@H](CO)[C@@H](O)[C@H](N)[C@@H]1O,0,B,B3DB_classification:3675,nan
nonisomeric_exact_high_conf,train,train:316,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,True,,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,A,B3DB_classification:194,ofloxacin
nonisomeric_exact_high_conf,train,train:345,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@H]12)c1csc(N)n1,0,True,,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@H]12)c1csc(N)n1,0,B,B3DB_classification:1951|B3DB_classification:3311|B3DB_classification:3328|B3DB_classification:4543,"ceftiofur ; (6s)-7-[[(2e)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-(furan-2-carbonylsulfanylmethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid ; schembl4729007 ; ceftiofur"
nonisomeric_exact_high_conf,train,train:364,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0,True,,CC1(C)S[C@H]2C(NC(=O)[C@@H](C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0,B,B3DB_classification:2873,nan
nonisomeric_exact_high_conf,train,train:440,CCNC1C2CCC(C2)C1c1ccccc1,1,True,,CCN[C@H]1C2CCC(C2)C1c1ccccc1,1,B,B3DB_classification:3091,nan
nonisomeric_salt_high_conf,train,train:449,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,0,False,no_unique_high_conf_b3db_match,,,,,
nonisomeric_exact_high_conf,train,train:477,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,0,True,,CO[C@H]1/C=C/OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@H](C)[C@H](O)[C@H](C)[C@H](OC(C)=O)[C@H]1C)C4=O,0,B,B3DB_classification:3392,nan
nonisomeric_exact_high_conf,train,train:488,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,1,True,,C[C@H]1C[C@H]2[C@@H]3[C@@H](Cl)CC4=CC(=O)C=CC4(C)[C@H]3[C@@H](O)CC2(C)C1(O)C(=O)CO,1,B,B3DB_classification:3591|B3DB_classification:4299,nan ; schembl13026158
nonisomeric_exact_high_conf,train,train:507,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,0,True,,CC12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@H](O)C(O)(C(=O)CO)C3(C)C[C@H](O)C12F,1,B,B3DB_classification:2901,nan
nonisomeric_exact_high_conf,train,train:521,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,0,True,,C[C@H]1C[C@@H]2[C@H]([C@@H](O)CC3(C)[C@H]2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,1,B,B3DB_classification:3564|B3DB_classification:4297,nan ; protriptyline
nonisomeric_exact_high_conf,train,train:542,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,1,True,,C[C@H]1C[C@@H]2[C@H]([C@@H](O)CC3(C)[C@H]2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,1,B,B3DB_classification:3564|B3DB_classification:4297,nan ; protriptyline
nonisomeric_exact_high_conf,train,train:545,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,True,,CCC(=O)C1(C)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=CC4(C)[C@H]3[C@@H](O)CC21C,1,B,B3DB_classification:2947|B3DB_classification:4328,nan ; rimexolone
nonisomeric_exact_high_conf,train,train:549,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1,True,,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=CC4(C)C3(Cl)[C@@H](O)CC2(C)C1(O)C(=O)CO,1,B,B3DB_classification:3569|B3DB_classification:4308,"nan ; pregna-1,4-diene-3,20-dione, 9-chloro-11,17,21-trihydroxy-16-methyl-, (11.beta.,16.beta.)-"
